carAge;dureeGarantie;kilometrage;marqueModele;prixTtc;puissanceFiscale;tauxCo2;typeEnergie;dureeTotale;valeurRachat
2;23;10;35;26634.0;6;139;3;60.0;12320.42
20;5;24462;1;25990.0;5;125;1;60.0;11799.51
19;6;39657;93;25990.0;5;34;7;60.0;13610.86
4;21;10;80;23290.0;5;109;3;60.0;10213.2
8;17;10;82;31990.0;7;114;3;60.0;11598.95
8;17;10;82;31990.0;7;114;3;60.0;11598.95
47;0;49429;22;47990.0;13;145;3;36.0;24564.2
9;16;10;29;40490.0;7;130;3;60.0;14047.29
30;0;11181;93;23990.0;8;145;1;54.0;10887.6
12;13;9631;80;20990.0;5;109;3;60.0;7694.89
6;19;10;98;24990.0;5;138;3;60.0;8749.46
8;17;10;26;25438.0;7;141;1;60.0;8081.64
8;17;10;45;29490.0;0;0;3;60.0;10644.91
53;0;61649;113;59990.0;9;0;0;30.0;15143.91
7;18;10;82;31990.0;7;114;3;60.0;11687.93
26;0;8370;1;24990.0;5;109;1;54.0;11029.24
10;14;10;79;31990.0;7;132;3;60.0;14018.4
48;0;25872;66;23990.0;7;122;1;36.0;8538.17
9;28;10;114;34490.0;8;119;6;60.0;14632.57
9;16;10;31;42990.0;4;0;0;60.0;17450.12
4;21;10;80;22990.0;5;109;3;60.0;9279.19
9;16;10;29;40490.0;7;130;3;60.0;14047.29
10;15;500;30;36990.0;7;251;3;60.0;13617.7
51;0;55509;10;53990.0;14;172;3;30.0;26323.55
24;1;8870;54;33990.0;10;45;7;60.0;12070.16
20;5;16353;4;42990.0;11;143;7;60.0;20500.27
9;16;10;29;40490.0;7;130;3;60.0;14047.29
9;16;10;25;18490.0;4;123;1;60.0;7257.66
34;3;42823;118;13990.0;6;135;1;48.0;5413.79
10;15;10;79;31990.0;7;132;3;60.0;14018.4
11;14;10;48;27990.0;6;129;7;60.0;9314.98
22;3;40423;102;20990.0;6;143;1;60.0;7750.97
24;1;15000;54;33990.0;10;45;7;60.0;12957.38
8;17;10;26;24853.0;7;141;1;60.0;8081.64
22;3;61268;82;22790.0;7;120;3;60.0;8274.06
8;17;10;25;18515.0;4;123;1;60.0;7322.24
25;0;64243;29;22990.0;7;139;1;54.0;9733.87
11;14;10;48;27990.0;6;129;7;60.0;9314.98
55;0;59332;84;23990.0;6;106;3;30.0;9362.4
6;19;10;44;19990.0;5;128;3;60.0;7241.14
31;0;60739;29;25490.0;7;138;3;54.0;8887.71
7;17;500;45;35990.0;7;191;3;60.0;12887.35
8;17;10;82;31990.0;7;114;3;60.0;11598.95
8;17;10;25;18490.0;4;123;1;60.0;7322.24
38;0;20181;13;29990.0;8;115;3;42.0;17164.43
16;9;10;94;18990.0;5;117;1;60.0;8233.87
22;3;39157;82;23990.0;7;120;3;60.0;10059.96
12;12;27250;110;32990.0;6;129;3;60.0;13533.46
13;12;12868;63;74990.0;21;177;3;60.0;29580.32
8;17;10;25;18490.0;4;123;1;60.0;7322.24
54;0;50595;98;12490.0;5;112;3;30.0;4835.74
8;17;10;45;29990.0;0;0;3;60.0;10644.91
8;17;10;82;31990.0;7;114;3;60.0;11598.95
19;6;10123;92;27990.0;7;132;7;60.0;11151.74
13;12;17000;93;27490.0;5;34;7;60.0;14873.46
49;0;74431;123;26990.0;8;146;3;30.0;13052.12
10;15;10;29;37990.0;7;130;3;60.0;13918.24
48;0;57391;10;65990.0;18;178;3;36.0;31078.99
14;11;7214;109;23990.0;6;122;1;60.0;9010.72
8;17;10;45;29990.0;0;0;3;60.0;10644.91
18;7;10807;80;20990.0;5;109;3;60.0;6991.13
6;19;10;44;19990.0;5;128;3;60.0;7241.14
19;6;10547;49;41490.0;7;235;3;60.0;19645.13
6;19;10;98;24990.0;5;138;3;60.0;8749.46
18;6;28758;78;9990.0;4;109;1;60.0;3551.7
16;9;7000;8;39490.0;8;146;1;60.0;17578.11
26;0;17484;2;29990.0;6;124;1;54.0;14306.63
45;0;108758;91;23990.0;8;167;3;36.0;11678.93
24;0;7802;21;53490.0;10;154;3;60.0;23434.77
8;17;10;82;29990.0;7;114;3;60.0;11318.77
46;0;73150;29;25990.0;9;124;3;36.0;11080.06
20;5;34205;81;32690.0;7;139;1;60.0;12030.01
8;17;10;82;30990.0;7;114;3;60.0;11318.77
56;0;82477;101;12990.0;4;95;3;24.0;6745.61
17;7;14875;93;23490.0;7;130;1;60.0;8909.88
8;17;10;25;18990.0;4;123;1;60.0;7322.24
58;0;62609;0;21990.0;7;109;3;24.0;9345.09
8;17;10;25;18233.0;4;123;1;60.0;7322.24
8;17;10;25;18490.0;4;123;1;60.0;7322.24
10;15;10;48;25990.0;6;118;2;60.0;9149.58
28;56;42305;55;13990.0;4;124;1;54.0;4958.92
8;17;10;82;29990.0;7;114;3;60.0;10272.4
21;4;15509;27;24490.0;7;119;1;60.0;8554.57
9;28;10;114;34490.0;8;119;6;60.0;14632.57
51;0;68446;22;45990.0;13;145;3;30.0;23209.6
8;17;10;81;36490.0;7;130;3;60.0;14624.35
48;0;37012;66;31490.0;6;55;7;36.0;17451.0
44;0;75150;2;22490.0;8;119;1;36.0;11946.97
40;0;14621;21;69990.0;25;177;1;42.0;32654.57
8;17;10;26;24990.0;7;141;1;60.0;8081.64
